Isolate,,Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,,Total length Illumina assemblies
WW_0134J,0,SRR13725701_assembly_complete,2,2,2,2,2,2,3003902,3003902,3003902,3003902,3003902,3003902,2,2931410,3003902,37.43,2931410,2931410,1,1,0,,"2,975,580"
BP-G138E-2,0,SRR13712375_assembly_complete,12,12,11,7,5,4,3242834,3242834,3240996,3215175,3184965,3138868,12,2774448,3242834,37.5,2774448,2774448,1,1,0,,"3,004,073"
HC_SS0025,0,SRR14000598_assembly_complete,6,6,6,6,5,4,3021537,3021537,3021537,3021537,2997888,2972029,6,2788419,3021537,37.36,2788419,2788419,1,1,0,,"2,888,472"
FC_0800A,0,SRR13726569_assembly_complete,9,9,7,6,6,5,3198585,3198585,3191073,3181637,3181637,3141277,9,2819237,3198585,37.53,2819237,2819237,1,1,0,,"2,857,217"
WW_0029I,0,SRR13726512_assembly_complete,7,7,7,7,7,6,3652176,3652176,3652176,3652176,3652176,3603919,7,2900529,3652176,37.38,2900529,2900529,1,1,0,,"2,991,615"
BP-H22-1,0,SRR13712384_assembly_complete,1,1,1,1,1,1,2823529,2823529,2823529,2823529,2823529,2823529,1,2823529,2823529,37.5,2823529,2823529,1,1,0,,"2,793,995"
HC_NS0539,0,SRR13999994_assembly_complete,5,5,4,3,3,2,3062438,3062438,3058767,3049533,3049533,3020632,5,2967175,3062438,37.29,2967175,2967175,1,1,0,,"3,022,952"
FC_0555B,0,SRR13726589_assembly_complete,5,5,4,4,4,3,3339502,3339502,3337650,3337650,3337650,3301319,5,3009468,3339502,37.45,3009468,3009468,1,1,0,,"3,015,799"
BP-R50-2,0,SRR13712383_assembly_complete,12,12,10,9,8,5,3120776,3120776,3113472,3104749,3081681,2969785,12,2115481,3120776,37.53,2115481,662942,1,2,0,,"2,967,604"
HC_NS0057,0,SRR13999918_assembly_complete,12,12,11,8,7,4,3586571,3586571,3582758,3562697,3545914,3452114,12,2937418,3586571,37.31,2937418,2937418,1,1,0,,"3,128,025"
HC_NS0199,0,SRR13999940_assembly_complete,4,2,2,2,2,2,3031283,3030718,3030718,3030718,3030718,3030718,2,2959921,3030718,37.39,2959921,2959921,1,1,0,,"2,992,558"
HC_NS0442,0,SRR13999934_assembly_complete,45,40,33,24,21,17,2854750,2853041,2832991,2769893,2718400,2573108,41,622060,2853651,37.55,141803,85497,5,12,0,,"2,860,093"
FC_0029A,0,SRR14024961_assembly_complete,69,46,37,32,21,15,2601957,2592302,2562019,2523709,2336155,2112138,54,256631,2598133,38.01,157796,73269,7,13,0,,"2,650,041"
HC_NS1131,0,SRR13999990_assembly_complete,5,5,5,5,4,3,3136895,3136895,3136895,3136895,3124858,3075113,5,2947504,3136895,37.22,2947504,2947504,1,1,0,,"3,070,333"
HC_NS1020,0,SRR14000018_assembly_complete,2,2,2,2,2,2,2875247,2875247,2875247,2875247,2875247,2875247,2,2817387,2875247,37.58,2817387,2817387,1,1,0,,"2,857,162"
HC_NS0259,0,SRR14000019_assembly_complete,16,16,14,13,10,6,3537882,3537882,3531181,3521886,3482011,3351843,16,2995177,3537882,37.31,2995177,2995177,1,1,0,,"3,165,942"
CB_1134,0,SRR13727003_assembly_complete,9,9,7,5,5,5,3273552,3273552,3266613,3250320,3250320,3250320,9,2864394,3273552,37.56,2864394,2864394,1,1,0,,"2,901,611"
HC_NS0889,0,SRR13999937_assembly_complete,2,2,2,2,2,2,3219984,3219984,3219984,3219984,3219984,3219984,2,3151214,3219984,37.32,3151214,3151214,1,1,0,,"3,161,917"
BP-G127E-2,0,SRR13712361_assembly_complete,4,4,3,3,3,3,3096512,3096512,3094296,3094296,3094296,3094296,4,2872480,3096512,37.5,2872480,2872480,1,1,0,,"3,032,388"
WW_0096J,0,SRR13725703_assembly_complete,22,12,5,4,4,3,3037683,3033490,3022075,3016626,3016626,2970397,14,2666163,3035158,37.73,2666163,2666163,1,1,0,,"2,719,004"
HC_NS1412,0,SRR13999995_assembly_complete,12,12,7,5,5,4,3270249,3270249,3253570,3238477,3238477,3209576,12,2935576,3270249,37.33,2935576,2935576,1,1,0,,"3,052,498"
WW_0040K,0,SRR13712518_assembly_complete,3,3,3,3,3,3,3075782,3075782,3075782,3075782,3075782,3075782,3,2929840,3075782,37.33,2929840,2929840,1,1,0,,"3,014,039"
WW_0081J,0,SRR13725706_assembly_complete,10,8,5,4,3,3,2994566,2993749,2983744,2977737,2955421,2955421,9,2630951,2994331,37.35,2630951,2630951,1,1,0,,"2,931,900"
SW_0325,0,SRR13727025_assembly_complete,2,2,2,2,2,2,2817120,2817120,2817120,2817120,2817120,2817120,2,2754760,2817120,37.66,2754760,2754760,1,1,0,,"2,812,047"
BP-G149-3,0,SRR13712371_assembly_complete,13,13,10,8,7,2,3076291,3076291,3065813,3046217,3023148,2846341,13,2783036,3076291,37.45,2783036,2783036,1,1,0,,"3,030,224"
CB_0121J,0,SRR13727034_assembly_complete,3,3,3,3,3,2,2932058,2932058,2932058,2932058,2932058,2890752,3,2764602,2932058,37.47,2764602,2764602,1,1,0,,"2,905,797"
WW_0060M,0,SRR13726557_assembly_complete,10,10,9,6,5,4,3278337,3278337,3275792,3258449,3248186,3217562,10,2954823,3278337,37.11,2954823,2954823,1,1,0,,"3,097,046"
HC_SS0034,0,SRR14000614_assembly_complete,83,62,42,35,28,20,4739395,4730884,4682009,4634261,4513689,4243336,69,1595322,4735974,37.17,254576,96910,4,11,0,,"3,219,732"
WW_0134M,0,SRR13725714_assembly_complete,7,6,6,6,5,5,3127071,3126356,3126356,3126356,3102694,3102694,7,2659975,3127071,37.69,2659975,2659975,1,1,0,,"2,784,680"
WW_0067C,0,SRR13726504_assembly_complete,2,2,2,2,2,2,2883716,2883716,2883716,2883716,2883716,2883716,2,2816797,2883716,37.6,2816797,2816797,1,1,0,,"2,857,101"
BP-H96E-2,0,SRR13712363_assembly_complete,26,22,18,17,15,11,2835206,2834075,2824482,2816702,2781360,2603327,23,438464,2834685,37.56,285103,187217,4,7,0,,"2,844,546"
HC_NS0188,0,SRR13999931_assembly_complete,3,3,3,3,3,3,3044440,3044440,3044440,3044440,3044440,3044440,3,2916346,3044440,37.3,2916346,2916346,1,1,0,,"3,007,376"
CB_0121I,0,SRR13727002_assembly_complete,11,9,6,4,3,3,3093240,3091951,3084263,3072290,3049354,3049354,11,2817793,3093240,37.44,2817793,2817793,1,1,0,,"2,956,035"
FC_0034E,0,SRR13726594_assembly_complete,4,4,4,4,3,2,3148516,3148516,3148516,3148516,3125333,3078765,4,2798597,3148516,37.56,2798597,2798597,1,1,0,,"2,849,744"
